shift_date,shift,zone_id,zone_lat,zone_lon,predicted_EIS
2024-04-09,morning (06:00-14:00),12.97_77.71,12.97,77.71,5.4982715
2024-04-09,morning (06:00-14:00),12.97_77.62,12.97,77.62,5.464011
2024-04-09,morning (06:00-14:00),13.19_77.68,13.19,77.68,5.396963
2024-04-09,morning (06:00-14:00),12.895_77.635,12.895,77.635,4.923909
2024-04-09,morning (06:00-14:00),13.065_77.59,13.065,77.59,4.3618426
2024-04-09,morning (06:00-14:00),13.095_77.595,13.095,77.595,3.3240232
2024-04-09,morning (06:00-14:00),13.095_77.6,13.095,77.6,3.1726758
2024-04-09,morning (06:00-14:00),12.965_77.715,12.965,77.715,3.1345441
2024-04-09,morning (06:00-14:00),12.915_77.635,12.915,77.635,2.8488288
2024-04-09,morning (06:00-14:00),12.915_77.605,12.915,77.605,2.80118
2024-04-09,morning (06:00-14:00),13.035_77.625,13.035,77.625,2.719385
2024-04-09,morning (06:00-14:00),12.945_77.7,12.945,77.7,2.580852
2024-04-09,morning (06:00-14:00),12.96_77.595,12.96,77.595,1.6842465
2024-04-09,night (22:00-06:00),12.965_77.575,12.965,77.575,108.00964
2024-04-09,night (22:00-06:00),13.01_77.695,13.01,77.695,106.68618
2024-04-09,night (22:00-06:00),12.98_77.575,12.98,77.575,94.59528
2024-04-09,night (22:00-06:00),12.98_77.58,12.98,77.58,70.05069
2024-04-09,night (22:00-06:00),12.975_77.575,12.975,77.575,61.232117
2024-04-09,night (22:00-06:00),12.975_77.58,12.975,77.58,58.880924
2024-04-09,night (22:00-06:00),12.935_77.69,12.935,77.69,43.80842
2024-04-09,night (22:00-06:00),13.01_77.555,13.01,77.555,38.146046
2024-04-09,night (22:00-06:00),13.0_77.55,13.0,77.55,28.021414
2024-04-09,night (22:00-06:00),12.965_77.58,12.965,77.58,28.01383
2024-04-09,night (22:00-06:00),12.995_77.67,12.995,77.67,24.74893
2024-04-09,night (22:00-06:00),12.98_77.605,12.98,77.605,22.106495
2024-04-09,night (22:00-06:00),12.985_77.605,12.985,77.605,22.047487
2024-04-09,night (22:00-06:00),13.185_77.68,13.185,77.68,21.96977
2024-04-09,night (22:00-06:00),12.975_77.545,12.975,77.545,19.806072
2024-04-09,night (22:00-06:00),12.99_77.555,12.99,77.555,19.162252
2024-04-09,night (22:00-06:00),12.97_77.575,12.97,77.575,18.7983
2024-04-09,night (22:00-06:00),13.07_77.59,13.07,77.59,17.504023
2024-04-09,night (22:00-06:00),12.995_77.555,12.995,77.555,17.483463
2024-04-09,night (22:00-06:00),13.0_77.675,13.0,77.675,16.848969
2024-04-09,night (22:00-06:00),12.965_77.585,12.965,77.585,16.663631
2024-04-09,night (22:00-06:00),12.98_77.61,12.98,77.61,16.082129
2024-04-09,night (22:00-06:00),12.985_77.555,12.985,77.555,15.260181
2024-04-09,night (22:00-06:00),12.945_77.57,12.945,77.57,15.010921
2024-04-09,night (22:00-06:00),12.985_77.61,12.985,77.61,14.833661
2024-04-09,night (22:00-06:00),12.975_77.55,12.975,77.55,13.46984
2024-04-09,night (22:00-06:00),13.035_77.59,13.035,77.59,13.392742
2024-04-09,night (22:00-06:00),12.935_77.615,12.935,77.615,13.150165
2024-04-09,night (22:00-06:00),12.95_77.7,12.95,77.7,12.956812
2024-04-09,night (22:00-06:00),13.01_77.55,13.01,77.55,12.568726
2024-04-09,night (22:00-06:00),12.96_77.58,12.96,77.58,11.48839
2024-04-09,night (22:00-06:00),12.96_77.575,12.96,77.575,11.084537
2024-04-09,night (22:00-06:00),12.995_77.695,12.995,77.695,11.028996
2024-04-09,night (22:00-06:00),13.0_77.68,13.0,77.68,10.804318
2024-04-09,night (22:00-06:00),12.965_77.54,12.965,77.54,10.557727
2024-04-09,night (22:00-06:00),12.975_77.57,12.975,77.57,9.093401
2024-04-09,night (22:00-06:00),12.925_77.585,12.925,77.585,8.03326
