zone_id,hour_bucket,predicted_EIS,p_occur,zone_lat,zone_lon
13.19_77.68,2024-04-09 00:00:00+00:00,0.06571953,0.008444824,13.19,77.68
12.84_77.645,2024-04-09 01:00:00+00:00,0.29154667,0.036894593,12.84,77.645
12.875_77.595,2024-04-09 01:00:00+00:00,0.22347078,0.032417286,12.875,77.595
12.87_77.655,2024-04-09 01:00:00+00:00,0.285024,0.043554004,12.87,77.655
12.885_77.64,2024-04-09 01:00:00+00:00,0.28916132,0.03843742,12.885,77.64
12.895_77.635,2024-04-09 01:00:00+00:00,0.27396873,0.041309316,12.895,77.635
12.89_77.64,2024-04-09 01:00:00+00:00,0.20834994,0.031538084,12.89,77.64
12.905_77.63,2024-04-09 01:00:00+00:00,0.25487185,0.03158613,12.905,77.63
12.915_77.575,2024-04-09 01:00:00+00:00,0.23246141,0.034265053,12.915,77.575
12.915_77.605,2024-04-09 01:00:00+00:00,0.06192946,0.008891512,12.915,77.605
12.915_77.635,2024-04-09 01:00:00+00:00,0.11875095,0.021070521,12.915,77.635
12.91_77.6,2024-04-09 01:00:00+00:00,0.16306126,0.02502203,12.91,77.6
12.91_77.635,2024-04-09 01:00:00+00:00,0.21706057,0.033547543,12.91,77.635
12.91_77.64,2024-04-09 01:00:00+00:00,0.16634369,0.025525725,12.91,77.64
12.925_77.585,2024-04-09 01:00:00+00:00,0.23315227,0.03154123,12.925,77.585
12.925_77.62,2024-04-09 01:00:00+00:00,0.19537696,0.025285155,12.925,77.62
12.925_77.675,2024-04-09 01:00:00+00:00,0.33702248,0.049829982,12.925,77.675
12.925_77.68,2024-04-09 01:00:00+00:00,0.32555768,0.048044216,12.925,77.68
12.935_77.585,2024-04-09 01:00:00+00:00,0.25838563,0.036760136,12.935,77.585
12.935_77.615,2024-04-09 01:00:00+00:00,2.043619,0.25454107,12.935,77.615
12.935_77.69,2024-04-09 01:00:00+00:00,4.590102,0.25917375,12.935,77.69
12.93_77.58,2024-04-09 01:00:00+00:00,0.27421144,0.03461528,12.93,77.58
12.93_77.585,2024-04-09 01:00:00+00:00,0.33810383,0.04352839,12.93,77.585
